Time,Speed,RPM,Throttle,nGear,Brake,DRS,LapNumber
0.281,0.0,8886.0,21.0,1,False,1,1.0
0.561,0.0,7346.0,20.0,1,False,1,1.0
0.721,6.0,6226.0,20.0,1,False,1,1.0
1.041,21.0,3986.0,20.0,1,False,1,1.0
1.321,28.0,3978.0,21.0,1,False,1,1.0
1.521,34.0,4323.0,27.0,1,False,1,1.0
1.841,48.0,5703.0,35.0,1,False,1,1.0
2.161,58.0,7075.0,44.0,1,False,1,1.0
2.361,62.0,7985.0,49.0,1,False,1,1.0
2.521,69.0,9020.0,51.0,1,False,1,1.0
2.881,77.0,10331.0,61.0,1,False,1,1.0
3.121,94.0,11709.0,68.0,1,False,1,1.0
3.401,107.0,12195.0,74.0,1,False,1,1.0
3.722,119.0,11180.0,85.0,2,False,1,1.0
3.962,129.0,12015.0,98.0,2,False,1,1.0
4.242,149.0,11183.0,100.0,2,False,1,1.0
4.442,159.0,11906.0,100.0,3,False,1,1.0
4.641,167.0,12418.0,100.0,3,False,1,1.0
4.801,171.0,11298.0,100.0,3,False,1,1.0
5.001,175.0,11499.0,100.0,4,False,1,1.0
5.321,190.0,12087.0,100.0,4,False,1,1.0
5.561,199.0,10951.0,100.0,5,False,1,1.0
5.761,206.0,11272.0,100.0,5,False,1,1.0
6.001,211.0,11604.0,100.0,5,False,1,1.0
6.401,221.0,11836.0,100.0,5,False,1,1.0
6.601,226.0,10555.0,100.0,6,False,1,1.0
6.921,232.0,11063.0,100.0,6,False,1,1.0
7.121,236.0,11210.0,100.0,6,False,1,1.0
7.281,239.0,11293.0,100.0,6,False,1,1.0
7.561,243.0,11407.0,100.0,6,False,1,1.0
7.761,236.0,10797.0,0.0,6,True,1,1.0
8.001,226.0,10806.0,0.0,6,True,1,1.0
8.241,204.0,10686.0,0.0,6,True,1,1.0
8.401,195.0,10908.0,0.0,5,True,1,1.0
8.681,172.0,10430.0,0.0,5,True,1,1.0
9.081,146.0,10026.0,0.0,3,True,1,1.0
9.481,126.0,8795.0,0.0,3,True,1,1.0
9.641,120.0,8228.0,0.0,3,True,1,1.0
9.961,114.0,8079.0,6.0,3,True,1,1.0
10.282,109.0,7928.0,11.0,3,False,1,1.0
10.482,108.0,8020.0,24.0,3,False,1,1.0
10.642,108.0,7948.0,29.0,3,False,1,1.0
10.962,109.0,7897.0,19.0,3,False,1,1.0
11.281,109.0,8315.0,42.0,3,False,1,1.0
11.441,110.0,8250.0,48.0,3,False,1,1.0
11.641,115.0,8835.0,55.0,3,False,1,1.0
11.961,124.0,9570.0,65.0,3,False,1,1.0
12.201,128.0,10225.0,54.0,3,False,1,1.0
12.361,136.0,10594.0,79.0,3,False,1,1.0
12.681,143.0,11803.0,87.0,3,False,1,1.0
12.881,151.0,12419.0,100.0,3,False,1,1.0
13.241,167.0,11562.0,100.0,4,False,1,1.0
13.561,179.0,11646.0,100.0,4,False,1,1.0
14.041,188.0,10567.0,100.0,5,False,1,1.0
14.361,209.0,11516.0,100.0,5,False,1,1.0
14.561,215.0,11683.0,100.0,5,False,1,1.0
14.841,224.0,11283.0,100.0,5,False,1,1.0
15.081,226.0,10960.0,100.0,5,False,1,1.0
15.281,234.0,11196.0,100.0,6,False,1,1.0
15.521,239.0,11416.0,100.0,6,False,1,1.0
15.681,241.0,11623.0,100.0,6,False,1,1.0
15.841,248.0,11704.0,100.0,6,False,1,1.0
16.081,250.0,11990.0,100.0,6,False,1,1.0
16.281,257.0,11010.0,100.0,6,False,1,1.0
16.521,260.0,10752.0,100.0,7,False,1,1.0
16.962,270.0,11108.0,100.0,7,False,1,1.0
17.362,275.0,11283.0,100.0,7,False,1,1.0
17.642,279.0,11484.0,100.0,7,False,1,1.0
