Time,Speed,RPM,Throttle,nGear,Brake,DRS,LapNumber
17.922,282.0,11646.0,100.0,7,False,1,1.0
18.121,284.0,11683.0,100.0,7,False,1,1.0
18.281,287.0,11827.0,100.0,7,False,1,1.0
18.601,290.0,11731.0,100.0,7,False,1,1.0
19.001,294.0,10570.0,100.0,8,False,1,1.0
19.161,294.0,10582.0,100.0,8,False,1,1.0
19.441,299.0,10582.0,100.0,8,False,1,1.0
20.601,308.0,11016.0,100.0,8,False,1,1.0
20.881,310.0,11059.0,100.0,8,False,1,1.0
21.121,309.0,11046.0,100.0,8,False,1,1.0
21.361,310.0,11103.0,100.0,8,False,1,1.0
21.721,311.0,11078.0,100.0,8,False,1,1.0
22.121,311.0,11095.0,100.0,8,False,1,1.0
22.321,312.0,11095.0,100.0,8,False,1,1.0
22.561,312.0,11095.0,100.0,8,False,1,1.0
22.881,312.0,11095.0,100.0,8,False,1,1.0
23.041,312.0,11171.0,100.0,8,False,1,1.0
23.281,259.0,10712.0,0.0,8,True,1,1.0
23.562,233.0,10555.0,0.0,7,True,1,1.0
23.802,225.0,11485.0,0.0,7,True,1,1.0
23.962,196.0,10925.0,0.0,5,True,1,1.0
24.242,196.0,10861.0,0.0,5,True,1,1.0
24.482,196.0,10861.0,0.0,4,True,1,1.0
24.881,196.0,11245.0,0.0,4,True,1,1.0
25.201,196.0,10965.0,0.0,3,True,1,1.0
25.361,196.0,10010.0,0.0,3,True,1,1.0
25.601,196.0,10010.0,0.0,3,True,1,1.0
25.841,88.0,10010.0,0.0,3,True,1,1.0
26.081,88.0,10010.0,0.0,3,True,1,1.0
26.241,88.0,10010.0,0.0,3,True,1,1.0
26.561,88.0,8890.0,0.0,3,True,1,1.0
26.841,54.0,6930.0,0.0,3,True,1,1.0
27.001,54.0,5810.0,0.0,3,True,1,1.0
27.241,54.0,4281.0,0.0,3,True,1,1.0
27.521,29.0,4281.0,0.0,3,False,1,1.0
27.681,29.0,4281.0,0.0,2,False,1,1.0
27.841,29.0,4421.0,0.0,2,False,1,1.0
28.201,29.0,5068.0,0.0,2,False,1,1.0
28.361,29.0,5068.0,0.0,1,False,1,1.0
28.681,24.0,5068.0,0.0,1,False,1,1.0
28.881,21.0,4648.0,0.0,1,False,1,1.0
29.161,21.0,4234.0,0.0,1,False,1,1.0
29.321,21.0,4234.0,0.0,1,False,1,1.0
29.641,16.0,4389.0,0.0,1,False,1,1.0
29.922,12.0,3965.0,0.0,1,False,1,1.0
30.242,11.0,4281.0,0.0,0,False,1,1.0
30.402,10.0,4312.0,0.0,0,False,1,1.0
30.642,9.0,4291.0,0.0,0,False,1,1.0
30.842,5.0,4313.0,0.0,0,False,1,1.0
31.002,5.0,4398.0,0.0,0,False,1,1.0
31.162,4.0,4353.0,0.0,0,False,1,1.0
31.402,2.0,4332.0,0.0,0,False,1,1.0
31.641,2.0,3802.0,0.0,0,False,1,1.0
32.041,0.0,3731.0,0.0,0,True,1,1.0
32.281,0.0,3916.0,0.0,0,True,1,1.0
32.441,0.0,3855.0,0.0,0,True,1,1.0
32.601,0.0,3982.0,0.0,0,True,1,1.0
32.881,0.0,3942.0,0.0,0,True,1,1.0
33.161,0.0,3910.0,0.0,0,True,1,1.0
33.401,0.0,4104.0,0.0,0,True,1,1.0
33.761,0.0,4096.0,0.0,0,True,1,1.0
34.041,0.0,3496.0,0.0,0,True,1,1.0
34.361,0.0,1491.0,0.0,0,True,1,1.0
34.801,0.0,0.0,0.0,0,True,1,1.0
34.961,0.0,0.0,0.0,0,True,1,1.0
35.401,0.0,0.0,0.0,0,True,1,1.0
35.561,0.0,0.0,0.0,0,True,1,1.0
35.881,0.0,0.0,0.0,0,True,1,1.0
36.201,0.0,0.0,0.0,0,True,1,1.0
36.522,0.0,0.0,0.0,0,True,1,1.0
36.882,0.0,0.0,0.0,0,True,1,1.0
37.122,0.0,0.0,0.0,0,True,1,1.0
37.282,0.0,0.0,0.0,0,True,1,1.0
37.482,0.0,0.0,0.0,0,True,1,1.0
37.682,0.0,0.0,0.0,0,True,1,1.0
38.122,0.0,0.0,0.0,0,True,1,1.0
38.521,0.0,0.0,0.0,0,True,1,1.0
38.681,0.0,0.0,0.0,0,True,1,1.0
39.001,0.0,0.0,0.0,0,True,1,1.0
39.201,0.0,0.0,0.0,0,True,1,1.0
39.521,0.0,0.0,0.0,0,True,1,1.0
39.841,0.0,0.0,0.0,0,True,1,1.0
40.081,0.0,0.0,0.0,0,True,1,1.0
40.241,0.0,0.0,0.0,0,True,1,1.0
40.561,0.0,0.0,0.0,0,True,1,1.0
40.841,0.0,0.0,0.0,0,True,1,1.0
41.081,0.0,0.0,0.0,0,True,1,1.0
41.281,0.0,0.0,0.0,0,True,1,1.0
41.481,0.0,0.0,0.0,0,True,1,1.0
41.721,0.0,0.0,0.0,0,True,1,1.0
41.961,0.0,0.0,0.0,0,True,1,1.0
42.201,0.0,0.0,0.0,0,True,1,1.0
42.601,0.0,0.0,0.0,0,True,1,1.0
42.881,0.0,0.0,0.0,0,True,1,1.0
43.082,0.0,0.0,0.0,0,True,1,1.0
43.282,0.0,0.0,0.0,0,True,1,1.0
43.442,0.0,0.0,0.0,0,True,1,1.0
43.882,0.0,0.0,0.0,0,True,1,1.0
44.242,0.0,0.0,0.0,0,True,1,1.0
44.402,0.0,0.0,0.0,0,True,1,1.0
44.642,0.0,0.0,0.0,0,True,1,1.0
44.922,0.0,0.0,0.0,0,True,1,1.0
45.321,0.0,0.0,0.0,0,True,1,1.0
45.601,0.0,0.0,0.0,0,True,1,1.0
45.961,0.0,0.0,0.0,0,True,1,1.0
46.201,0.0,0.0,0.0,0,True,1,1.0
46.561,0.0,0.0,0.0,0,True,1,1.0
46.801,0.0,0.0,0.0,0,True,1,1.0
47.241,0.0,0.0,0.0,0,True,1,1.0
47.601,0.0,0.0,0.0,0,True,1,1.0
47.961,0.0,0.0,0.0,0,True,1,1.0
48.401,0.0,0.0,0.0,0,True,1,1.0
48.681,0.0,0.0,0.0,0,True,1,1.0
49.041,0.0,0.0,0.0,0,True,1,1.0
49.241,0.0,0.0,0.0,0,True,1,1.0
49.401,0.0,0.0,0.0,0,True,1,1.0
49.642,0.0,0.0,0.0,0,True,1,1.0
49.802,0.0,0.0,0.0,0,True,1,1.0
50.082,0.0,0.0,0.0,0,True,1,1.0
50.282,0.0,0.0,0.0,0,True,1,1.0
50.642,0.0,0.0,0.0,0,True,1,1.0
50.882,0.0,0.0,0.0,0,True,1,1.0
51.162,0.0,0.0,0.0,0,True,1,1.0
51.482,0.0,0.0,0.0,0,True,1,1.0
51.762,0.0,0.0,0.0,0,True,1,1.0
52.041,0.0,0.0,0.0,0,True,1,1.0
52.241,0.0,0.0,0.0,0,True,1,1.0
52.441,0.0,0.0,0.0,0,True,1,1.0
52.841,0.0,0.0,0.0,0,True,1,1.0
53.001,0.0,0.0,0.0,0,True,1,1.0
53.241,0.0,0.0,0.0,0,True,1,1.0
53.601,0.0,0.0,0.0,0,True,1,1.0
53.881,0.0,0.0,0.0,0,True,1,1.0
54.041,0.0,0.0,0.0,0,True,1,1.0
54.241,0.0,0.0,0.0,0,True,1,1.0
54.401,0.0,0.0,0.0,0,True,1,1.0
54.561,0.0,0.0,0.0,0,True,1,1.0
54.721,0.0,0.0,0.0,0,True,1,1.0
55.041,0.0,0.0,0.0,0,True,1,1.0
55.361,0.0,0.0,104.0,0,True,1,1.0
55.641,0.0,0.0,104.0,0,True,1,1.0
55.881,0.0,0.0,104.0,0,True,1,1.0
56.041,0.0,0.0,104.0,0,True,1,1.0
56.322,0.0,0.0,104.0,0,True,1,1.0
56.562,0.0,0.0,104.0,0,True,1,1.0
56.922,0.0,0.0,104.0,0,True,1,1.0
57.122,0.0,0.0,104.0,0,True,1,1.0
57.322,0.0,0.0,104.0,0,True,1,1.0
57.562,0.0,0.0,104.0,0,True,1,1.0
57.762,0.0,0.0,104.0,0,True,1,1.0
58.002,0.0,0.0,104.0,0,True,1,1.0
58.162,0.0,0.0,104.0,0,True,1,1.0
58.402,0.0,0.0,104.0,0,True,1,1.0
58.681,0.0,0.0,104.0,0,True,1,1.0
58.961,0.0,0.0,104.0,0,True,1,1.0
59.161,0.0,0.0,104.0,0,True,1,1.0
59.401,0.0,0.0,104.0,0,True,1,1.0
59.761,0.0,0.0,104.0,0,True,1,1.0
60.281,0.0,0.0,104.0,0,True,1,1.0
60.521,0.0,0.0,104.0,0,True,1,1.0
60.841,0.0,0.0,104.0,0,True,1,1.0
61.081,0.0,0.0,104.0,0,True,1,1.0
61.441,0.0,0.0,104.0,0,True,1,1.0
61.641,0.0,0.0,104.0,0,True,1,1.0
61.841,0.0,0.0,104.0,0,True,1,1.0
62.241,0.0,0.0,104.0,0,True,1,1.0
62.481,0.0,0.0,104.0,0,True,1,1.0
62.802,0.0,0.0,104.0,0,True,1,1.0
63.122,0.0,0.0,104.0,0,True,1,1.0
63.522,0.0,0.0,104.0,0,True,1,1.0
63.762,0.0,0.0,104.0,0,True,1,1.0
64.042,0.0,0.0,104.0,0,True,1,1.0
64.282,0.0,0.0,104.0,0,True,1,1.0
64.522,0.0,0.0,104.0,0,True,1,1.0
64.842,0.0,0.0,104.0,0,True,1,1.0
65.082,0.0,0.0,104.0,0,True,1,1.0
65.401,0.0,0.0,104.0,0,True,1,1.0
65.801,0.0,0.0,104.0,0,True,1,1.0
66.001,0.0,0.0,104.0,0,True,1,1.0
67.241,0.0,0.0,104.0,0,True,1,1.0
67.641,0.0,0.0,104.0,0,True,1,1.0
67.961,0.0,0.0,104.0,0,True,1,1.0
68.161,0.0,0.0,104.0,0,True,1,1.0
68.441,0.0,0.0,104.0,0,True,1,1.0
68.721,0.0,0.0,104.0,0,True,1,1.0
69.041,0.0,0.0,104.0,0,True,1,1.0
69.442,0.0,0.0,104.0,0,True,1,1.0
69.882,0.0,0.0,104.0,0,True,1,1.0
70.082,0.0,0.0,104.0,0,True,1,1.0
70.282,0.0,0.0,104.0,0,True,1,1.0
70.762,0.0,0.0,104.0,0,True,1,1.0
71.042,0.0,0.0,104.0,0,True,1,1.0
71.362,0.0,0.0,104.0,0,True,1,1.0
71.722,0.0,0.0,104.0,0,True,1,1.0
71.962,0.0,0.0,104.0,0,True,1,1.0
72.161,0.0,0.0,104.0,0,True,1,1.0
72.361,0.0,0.0,104.0,0,True,1,1.0
72.801,0.0,0.0,104.0,0,True,1,1.0
73.041,0.0,0.0,104.0,0,True,1,1.0
73.281,0.0,0.0,104.0,0,True,1,1.0
73.601,0.0,0.0,104.0,0,True,1,1.0
73.801,0.0,0.0,104.0,0,True,1,1.0
74.241,0.0,0.0,104.0,0,True,1,1.0
74.521,0.0,0.0,104.0,0,True,1,1.0
74.761,0.0,0.0,104.0,0,True,1,1.0
74.961,0.0,0.0,104.0,0,True,1,1.0
75.121,0.0,0.0,104.0,0,True,1,1.0
75.481,0.0,0.0,104.0,0,True,1,1.0
75.881,0.0,0.0,104.0,0,True,1,1.0
76.042,0.0,0.0,104.0,0,True,1,1.0
76.482,0.0,0.0,104.0,0,True,1,1.0
76.682,0.0,0.0,104.0,0,True,1,1.0
77.042,0.0,0.0,104.0,0,True,1,1.0
77.282,0.0,0.0,104.0,0,True,1,1.0
77.642,0.0,0.0,104.0,0,True,1,1.0
78.002,0.0,0.0,104.0,0,True,1,1.0
78.322,0.0,0.0,104.0,0,True,1,1.0
78.562,0.0,0.0,104.0,0,True,1,1.0
78.842,0.0,0.0,104.0,0,True,1,1.0
79.001,0.0,0.0,104.0,0,True,1,1.0
79.161,0.0,0.0,104.0,0,True,1,1.0
79.361,0.0,0.0,104.0,0,True,1,1.0
79.721,0.0,0.0,104.0,0,True,1,1.0
80.001,0.0,0.0,104.0,0,True,1,1.0
80.361,0.0,0.0,104.0,0,True,1,1.0
80.641,0.0,0.0,104.0,0,True,1,1.0
81.081,0.0,0.0,104.0,0,True,1,1.0
81.441,0.0,0.0,104.0,0,True,1,1.0
81.601,0.0,0.0,104.0,0,True,1,1.0
81.801,0.0,0.0,104.0,0,True,1,1.0
81.961,0.0,0.0,104.0,0,True,1,1.0
82.281,0.0,0.0,104.0,0,True,1,1.0
82.682,0.0,0.0,104.0,0,True,1,1.0
83.122,0.0,0.0,104.0,0,True,1,1.0
83.282,0.0,0.0,104.0,0,True,1,1.0
83.522,0.0,0.0,104.0,0,True,1,1.0
83.682,0.0,0.0,104.0,0,True,1,1.0
83.842,0.0,0.0,104.0,0,True,1,1.0
84.002,0.0,0.0,104.0,0,True,1,1.0
84.362,0.0,0.0,104.0,0,True,1,1.0
84.762,0.0,0.0,104.0,0,True,1,1.0
84.962,0.0,0.0,104.0,0,True,1,1.0
85.402,0.0,0.0,104.0,0,True,1,1.0
85.721,0.0,0.0,104.0,0,True,1,1.0
86.041,0.0,0.0,104.0,0,True,1,1.0
86.401,0.0,0.0,104.0,0,True,1,1.0
86.721,0.0,0.0,104.0,0,True,1,1.0
86.961,0.0,0.0,104.0,0,True,1,1.0
87.121,0.0,0.0,104.0,0,True,1,1.0
87.321,0.0,0.0,104.0,0,True,1,1.0
87.521,0.0,0.0,104.0,0,True,1,1.0
87.801,0.0,0.0,104.0,0,True,1,1.0
87.961,0.0,0.0,104.0,0,True,1,1.0
88.201,0.0,0.0,104.0,0,True,1,1.0
